Review,Rating
"beware - this office seem to specialize in overbooking appointments and offer selective information for the consumer.  it's one of those offices that forget to include important details until after the damage has been done.

unless you're retired and have all the time in the world to spend waiting for your appointment time, camping out in the hallway instead of inside of the office space, or just love the absence of return phone calls - i wouldn't bother.",1
fantastic food with great service. i can't remember my waitresses name but she was very friendly and funny. the shrimp cargo is fabulous and the baby back ribs were amazing. i'm lucky enough to have this place close by my house. will be coming back for a long time.,5
"expected better service from previous reviews but could have been an off night. the good: shrimp ebi sushi, stuffed chicken wings and roasted garlic situ ramen. the bad: snow crab croquette and a soft mushy texture, pressed sushi salmon had way too much rice. would come back to try more of the menu. overall a very good quality restaurant in markham.",4
"i love this pasta. fresh pasta is always better than boxed and dried, but i rarely have the time...or want to take the time to make my own. ocp is awesome and delicious and i love trying out all of the different varieties. i've always been a pasta addict and ocp is not helping with my problem. at all. stop it guys. i'm so totally kidding don't stop...ever.",5
korean-style churros! we got the special with chocolate glaze and almond topping. crunchy shell with cakey centre and not too sweet - delicious!! the two young men that served us were genuinely nice! good service...,4
"visited mix with high expectations, and they were more than met!  the dining room is beautiful and elegant, yet also simple.  the staff were well versed in their menu and attentive without the constant stream of ""how is everything"" that is often passed off for good service.  and the night view of las vegas from the 64th floor was amazing.

yet the real star was the food.  each item at our table  was perfect.  and while this is certainly cheap dining, it stacks up very nicely to more expensive options in the area.

i will definitely revisit on future trips.",5
i love love love this place!!! cider + pasty = amazing lunch or dinner.,5
"i have taken a few foster dogs and my own puppy to this clinic. the staff are friendly and knowledgeable. they have worked to squeeze me in at the last minute.

they don't push for unnecessary treatments but provide information to make informed choices.",5
"this diner has regressed since a year and a half ago. the food was mediocre in all 3 visits this year and the service was lacking on one particular midnight visit.

i had ordered a drink for a friend that was visiting at another table that the waitress forgot. this late friend ordered her food 15 minutes after us yet got her food 10 minutes before anybody else did. bizarre. overall, we  had waited about 45 minutes for our food.

 when this fact was pointed out, she brought her manager out instead of just telling us what was up. all he could do was assure us the food was coming out. when it did, my dish was cold and seemed like it had been standing under the heat lamp for a while.

the other visits were not remarkable but neither was the food.",2
"i had the large pastrami reuben on sourdough. large is no joke, big enough for 3 & delicious. ate it for 2 days. my only reason not to give stars is the $3 delivery & $17 minimum for delivery. it's a lot of extra if one person wants to order lunch.",4
